start-geopoint,_start-geopoint_latitude,_start-geopoint_longitude,_start-geopoint_altitude,_start-geopoint_precision,Region_faci,Facility_id4,gps,_gps_latitude,_gps_longitude,_gps_altitude,_gps_precision
13.8647216 39.7366468 2659.5 9.657,13.8647216,39.7366468,2659.5,9.657,6,5,13.8647283 39.7381384 2676.2 4.92,13.8647283,39.7381384,2676.2,4.92
13.8646983 39.73648 2663.3999999999996 214.035,13.8646983,39.73648,2663.4,214.035,6,5,13.864639 39.7380262 2708.3999999999996 4.942,13.864639,39.7380262,2708.4,4.942
13.8647709 39.7365901 2659.8999999999996 7.258,13.8647709,39.7365901,2659.9,7.258,6,5,13.8647144 39.7381178 2720.0 4.885,13.8647144,39.7381178,2720,4.885
13.8646421 39.7365682 2659.7999999999997 5.836,13.8646421,39.7365682,2659.8,5.836,6,5,13.8647314 39.7379649 2666.3999999999996 4.978,13.8647314,39.7379649,2666.4,4.978
13.8646831 39.7366001 2659.7999999999997 5.5,13.8646831,39.7366001,2659.8,5.5,6,5,13.8648049 39.7381084 2690.1 4.9,13.8648049,39.7381084,2690.1,4.9
13.8637306 39.7383645 0.0 2500.0,13.8637306,39.7383645,0,2500,6,5,13.8637306 39.7383645 0.0 2500.0,13.8637306,39.7383645,0,2500
13.8637306 39.7383645 0.0 2500.0,13.8637306,39.7383645,0,2500,6,5,13.8637306 39.7383645 0.0 2500.0,13.8637306,39.7383645,0,2500
13.8637306 39.7383645 0.0 2500.0,13.8637306,39.7383645,0,2500,6,5,13.8637306 39.7383645 0.0 2500.0,13.8637306,39.7383645,0,2500
14.0377582 39.0617958 0.0 2299.999,14.0377582,39.0617958,0,2299.999,6,6,14.0392981 39.0646925 1944.5 5.0,14.0392981,39.0646925,1944.5,5
14.0377582 39.0617958 0.0 2299.999,14.0377582,39.0617958,0,2299.999,6,6,14.0393536 39.0647693 1973.1 4.9,14.0393536,39.0647693,1973.1,4.9
14.0379727 39.0622328 1929.7 1957.007,14.0379727,39.0622328,1929.7,1957.007,6,6,14.0389607 39.0662825 1973.2 4.415,14.0389607,39.0662825,1973.2,4.415
14.03835 39.0630017 1929.7 2124.819,14.03835,39.0630017,1929.7,2124.819,6,6,14.0389972 39.0663357 1972.3 4.731,14.0389972,39.0663357,1972.3,4.731
12.937175 39.5169977 0.0 3000.0,12.937175,39.5169977,0,3000,6,2,12.9374317 39.5165711 2484.1 4.765,12.9374317,39.5165711,2484.1,4.765
13.8648239 39.7382121 2678.5 9.96,13.8648239,39.7382121,2678.5,9.96,6,5,13.8648546 39.7382943 2678.7 4.8,13.8648546,39.7382943,2678.7,4.8
13.86478 39.737925 2656.5 482.348,13.86478,39.737925,2656.5,482.348,6,5,13.8648884 39.73831 2678.3999999999996 7.248,13.8648884,39.73831,2678.4,7.248
13.8646982 39.7364818 2667.7999999999997 10.8,13.8646982,39.7364818,2667.8,10.8,6,5,13.8646747 39.7379046 2685.7999999999997 5.0,13.8646747,39.7379046,2685.8,5
13.8637306 39.7383645 0.0 2500.0,13.8637306,39.7383645,0,2500,6,5,13.8647306 39.7378513 2714.3999999999996 5.0,13.8647306,39.7378513,2714.4,5
13.8637306 39.7383645 2695.2 2500.0,13.8637306,39.7383645,2695.2,2500,6,5,13.8647386 39.7380844 2676.5 4.9,13.8647386,39.7380844,2676.5,4.9
13.8644676 39.7377542 2679.2999999999997 10.34,13.8644676,39.7377542,2679.3,10.34,6,5,13.864739 39.7380378 2669.3999999999996 4.86,13.864739,39.7380378,2669.4,4.86
13.8637306 39.7383645 0.0 2500.0,13.8637306,39.7383645,0,2500,6,5,13.866232 39.7369582 2353.7 117.648,13.866232,39.7369582,2353.7,117.648
13.8637306 39.7383645 0.0 2500.0,13.8637306,39.7383645,0,2500,6,5,13.8661848 39.7373441 2384.7999999999997 10.183,13.8661848,39.7373441,2384.8,10.183
,,,,,6,5,13.8646936 39.7382127 2664.7 5.62,13.8646936,39.7382127,2664.7,5.62
13.8647444 39.7381965 2664.7 5.755,13.8647444,39.7381965,2664.7,5.755,6,5,13.8506797 39.7415855 0.0 2000.0,13.8506797,39.7415855,0,2000
13.8637306 39.7383645 0.0 2500.0,13.8637306,39.7383645,0,2500,6,5,13.8637306 39.7383645 0.0 2500.0,13.8637306,39.7383645,0,2500
,,,,,6,4,13.5253118 39.4412797 2015.8999999999999 4.84,13.5253118,39.4412797,2015.9,4.84
13.8647516 39.7380066 2681.3999999999996 7.1,13.8647516,39.7380066,2681.4,7.1,6,5,13.8646868 39.73797 2668.2 4.8,13.8646868,39.73797,2668.2,4.8
,,,,,6,5,13.8647328 39.737961 2699.3999999999996 4.883,13.8647328,39.737961,2699.4,4.883
13.8648201 39.7377392 2668.2999999999997 6.4,13.8648201,39.7377392,2668.3,6.4,6,5,13.8648784 39.7379539 2668.8999999999996 4.957,13.8648784,39.7379539,2668.9,4.957
13.8506797 39.7415855 0.0 2000.0,13.8506797,39.7415855,0,2000,6,5,13.8647357 39.7380401 2656.5 5.0,13.8647357,39.7380401,2656.5,5
13.8506797 39.7415855 0.0 2000.0,13.8506797,39.7415855,0,2000,6,5,13.8647529 39.738078 2683.1 4.783,13.8647529,39.738078,2683.1,4.783
13.8506797 39.7415855 0.0 2000.0,13.8506797,39.7415855,0,2000,6,5,13.8648 39.7381167 2662.2999999999997 534.418,13.8648,39.7381167,2662.3,534.418
12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
13.2480967 39.5179675 0.0 400.0,13.2480967,39.5179675,0,400,6,1,13.2411378 39.5203678 2100.8 4.566,13.2411378,39.5203678,2100.8,4.566
13.2411428 39.5201403 2096.8 7.934,13.2411428,39.5201403,2096.8,7.934,6,1,13.2411238 39.5204338 2098.1 4.9,13.2411238,39.5204338,2098.1,4.9
13.2158516 39.5169977 0.0 4099.999,13.2158516,39.5169977,0,4099.999,6,1,13.2411583 39.5203817 2121.5 4.8,13.2411583,39.5203817,2121.5,4.8
13.2411086 39.5201633 2121.1 9.825,13.2411086,39.5201633,2121.1,9.825,6,1,13.2411274 39.5203361 2090.0 4.5,13.2411274,39.5203361,2090,4.5
13.2410257 39.5200897 2061.3 10.425,13.2410257,39.5200897,2061.3,10.425,6,1,13.241262 39.5203716 2077.3 4.3,13.241262,39.5203716,2077.3,4.3
13.2411983 39.5200682 2073.0 6.06,13.2411983,39.5200682,2073,6.06,6,1,13.2413894 39.5205738 2136.9 4.9,13.2413894,39.5205738,2136.9,4.9
13.2411402 39.5200761 2136.1 6.05,13.2411402,39.5200761,2136.1,6.05,6,1,13.241212 39.5206306 2056.5 4.5,13.241212,39.5206306,2056.5,4.5
13.2409167 39.520435 2064.3 15.0,13.2409167,39.520435,2064.3,15,6,1,13.2411167 39.5203408 2089.9 4.76,13.2411167,39.5203408,2089.9,4.76
13.2394931 39.515058 0.0 2500.0,13.2394931,39.515058,0,2500,6,1,13.2410609 39.5203697 2092.3 4.966,13.2410609,39.5203697,2092.3,4.966
